MC,CLA,CLS,Q,CLR
28.84,28.96,31.03,2,"[27.698416750071956, 38.42758205446834, 31.567221786114352, 45.19074649298086, 30.193209023068256]"
28.96,31.35,31.03,2,"[27.698416750071956, 38.42758205446834, 31.567221786114352, 45.19074649298086, 30.193209023068256, 38.504450860040166]"
30.19,31.35,31.03,2,"[38.42758205446834, 31.567221786114352, 45.19074649298086, 30.193209023068256, 38.504450860040166, 31.1131159651036]"
30.76,31.35,31.03,2,"[31.567221786114352, 45.19074649298086, 30.193209023068256, 38.504450860040166, 31.1131159651036, 31.59870211230283]"
31.03,31.35,41.03,1,"[31.567221786114352, 45.19074649298086, 30.193209023068256, 38.504450860040166, 31.1131159651036, 31.59870211230283]"
31.11,31.35,41.03,2,"[45.19074649298086, 30.193209023068256, 38.504450860040166, 31.1131159651036, 31.59870211230283]"
31.35,61.55,41.03,2,"[45.19074649298086, 30.193209023068256, 38.504450860040166, 31.1131159651036, 31.59870211230283, 39.63542001542095]"
31.57,61.55,41.03,2,"[30.193209023068256, 38.504450860040166, 31.1131159651036, 31.59870211230283, 39.63542001542095, 56.67575812287444]"
31.60,61.55,41.03,2,"[38.504450860040166, 31.1131159651036, 31.59870211230283, 39.63542001542095, 56.67575812287444, 39.81895512442076]"
38.43,61.55,41.03,2,"[31.1131159651036, 31.59870211230283, 39.63542001542095, 56.67575812287444, 39.81895512442076, 49.12701194345797]"
38.50,61.55,41.03,2,"[31.59870211230283, 39.63542001542095, 56.67575812287444, 39.81895512442076, 49.12701194345797, 63.98814136370357]"
39.64,61.55,41.03,2,"[39.63542001542095, 56.67575812287444, 39.81895512442076, 49.12701194345797, 63.98814136370357, 40.9101721243997]"
39.82,61.55,41.03,2,"[56.67575812287444, 39.81895512442076, 49.12701194345797, 63.98814136370357, 40.9101721243997, 42.10426549132611]"
40.91,61.55,41.03,2,"[39.81895512442076, 49.12701194345797, 63.98814136370357, 40.9101721243997, 42.10426549132611, 42.25213118796847]"
41.03,61.55,51.03,1,"[39.81895512442076, 49.12701194345797, 63.98814136370357, 40.9101721243997, 42.10426549132611, 42.25213118796847]"
42.10,61.55,51.03,2,"[49.12701194345797, 63.98814136370357, 40.9101721243997, 42.10426549132611, 42.25213118796847]"
42.25,61.55,51.03,2,"[63.98814136370357, 40.9101721243997, 42.10426549132611, 42.25213118796847, 42.337596004766105]"
42.34,61.55,51.03,2,"[40.9101721243997, 42.10426549132611, 42.25213118796847, 42.337596004766105, 50.04624432601757]"
45.19,61.55,51.03,2,"[42.10426549132611, 42.25213118796847, 42.337596004766105, 50.04624432601757, 54.23180421833533]"
49.13,61.55,51.03,2,"[42.25213118796847, 42.337596004766105, 50.04624432601757, 54.23180421833533, 55.10490396598664]"
50.05,61.55,51.03,2,"[42.337596004766105, 50.04624432601757, 54.23180421833533, 55.10490396598664, 56.37178188544732]"
51.03,61.55,61.03,1,"[42.337596004766105, 50.04624432601757, 54.23180421833533, 55.10490396598664, 56.37178188544732]"
54.23,61.55,61.03,2,"[50.04624432601757, 54.23180421833533, 55.10490396598664, 56.37178188544732]"
55.10,61.55,61.03,2,"[54.23180421833533, 55.10490396598664, 56.37178188544732, 56.176178675829156]"
56.18,61.55,61.03,2,"[55.10490396598664, 56.37178188544732, 56.176178675829156, 64.63656508486739]"
56.37,61.55,61.03,2,"[56.37178188544732, 56.176178675829156, 64.63656508486739, 56.46065855589828]"
56.46,61.55,61.03,2,"[56.176178675829156, 64.63656508486739, 56.46065855589828, 61.307940545076576]"
56.68,61.55,61.03,2,"[64.63656508486739, 56.46065855589828, 61.307940545076576, 60.20332227568959]"
60.20,61.55,61.03,2,"[56.46065855589828, 61.307940545076576, 60.20332227568959, 73.66618521877362]"
61.03,61.55,71.03,1,"[56.46065855589828, 61.307940545076576, 60.20332227568959, 73.66618521877362]"
61.31,61.55,71.03,2,"[61.307940545076576, 60.20332227568959, 73.66618521877362]"
61.55,66.91,71.03,2,"[61.307940545076576, 60.20332227568959, 73.66618521877362, 71.64540494318507]"
63.99,66.91,71.03,2,"[60.20332227568959, 73.66618521877362, 71.64540494318507, 68.72555709683066]"
64.64,66.91,71.03,2,"[73.66618521877362, 71.64540494318507, 68.72555709683066, 75.9274447779989]"
66.91,71.77,71.03,2,"[73.66618521877362, 71.64540494318507, 68.72555709683066, 75.9274447779989, 68.49913347094815]"
68.50,71.77,71.03,2,"[71.64540494318507, 68.72555709683066, 75.9274447779989, 68.49913347094815, 72.64739246632843]"
68.73,71.77,71.03,2,"[68.72555709683066, 75.9274447779989, 68.49913347094815, 72.64739246632843, 69.28084615972718]"
69.28,71.77,71.03,2,"[75.9274447779989, 68.49913347094815, 72.64739246632843, 69.28084615972718, 73.15793694966781]"
71.03,71.77,81.03,1,"[75.9274447779989, 68.49913347094815, 72.64739246632843, 69.28084615972718, 73.15793694966781]"
71.65,71.77,81.03,2,"[68.49913347094815, 72.64739246632843, 69.28084615972718, 73.15793694966781]"
71.77,77.28,81.03,2,"[68.49913347094815, 72.64739246632843, 69.28084615972718, 73.15793694966781, 72.02623896608748]"
72.03,77.28,81.03,2,"[72.64739246632843, 69.28084615972718, 73.15793694966781, 72.02623896608748, 77.51144924264784]"
72.65,77.28,81.03,2,"[69.28084615972718, 73.15793694966781, 72.02623896608748, 77.51144924264784, 80.54426326385286]"
73.16,77.28,81.03,2,"[73.15793694966781, 72.02623896608748, 77.51144924264784, 80.54426326385286, 74.86923237059652]"
