MC,CLA,CLS,Q,CLR
101.41,101.58,110.44,2,"[96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328]"
101.58,109.36,110.44,2,"[96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715]"
101.61,109.36,110.44,2,"[103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787]"
102.30,109.36,110.44,2,"[96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563]"
103.33,109.36,110.44,2,"[96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189]"
103.85,109.36,110.44,2,"[105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586]"
104.29,109.36,110.44,2,"[104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538]"
104.80,109.36,110.44,2,"[106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599]"
105.00,109.36,110.44,2,"[107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382]"
105.23,109.36,110.44,2,"[105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041]"
105.34,109.36,110.44,2,"[102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811]"
105.38,109.36,110.44,2,"[105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261]"
106.14,109.36,110.44,2,"[104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086]"
106.35,109.36,110.44,2,"[106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605]"
106.82,109.36,110.44,2,"[112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747]"
106.87,109.36,110.44,2,"[111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199]"
107.08,109.36,110.44,2,"[106.87172785694382, 110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022]"
107.27,109.36,110.44,2,"[110.41589648899041, 108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928]"
108.93,109.36,110.44,2,"[108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195]"
109.36,112.62,110.44,2,"[108.92637388741811, 106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467]"
110.38,112.62,110.44,2,"[106.3517462865261, 107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288]"
110.42,112.62,110.44,2,"[107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777]"
110.44,112.62,120.44,1,"[107.07981151172086, 111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777]"
110.87,112.62,120.44,2,"[111.88360938257605, 110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777]"
111.34,112.62,120.44,2,"[110.86612436418747, 123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284]"
111.88,112.62,120.44,2,"[123.87322797300199, 113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427]"
112.27,112.62,120.44,2,"[113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858]"
112.62,114.63,120.44,2,"[113.28616541402022, 113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448]"
112.95,114.63,120.44,2,"[113.17264586249928, 110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336]"
113.17,114.63,120.44,2,"[110.38393726507195, 112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907]"
113.29,114.63,120.44,2,"[112.27285165614467, 114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106]"
113.31,114.63,120.44,2,"[114.00553309750288, 114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237]"
113.43,114.63,120.44,2,"[114.88168745025777, 120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333]"
114.01,114.63,120.44,2,"[120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166]"
114.63,114.79,120.44,2,"[120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013]"
114.79,130.83,120.44,2,"[120.22652143719284, 122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612]"
114.88,130.83,120.44,2,"[122.0730638147427, 113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901]"
114.89,130.83,120.44,2,"[113.30819919250858, 114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082]"
114.94,130.83,120.44,2,"[114.96327584075448, 117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131]"
114.96,130.83,120.44,2,"[117.0560723849336, 114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921]"
114.97,130.83,120.44,2,"[114.93801286720907, 113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545]"
115.50,130.83,120.44,2,"[113.43231659789106, 115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122]"
115.57,130.83,120.44,2,"[115.57038930142237, 115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152]"
116.29,130.83,120.44,2,"[115.50212689193333, 117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081]"
116.58,130.83,120.44,2,"[117.78498148374166, 114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817]"
117.06,130.83,120.44,2,"[114.88588240045013, 114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697]"
117.23,130.83,120.44,2,"[114.96549538161612, 141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146]"
117.69,130.83,120.44,2,"[141.0763579801901, 116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922]"
117.78,130.83,120.44,2,"[116.58140387100082, 118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569]"
118.68,130.83,120.44,2,"[118.68374500339131, 120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656]"
119.40,130.83,120.44,2,"[120.09788519016921, 117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976]"
120.10,130.83,120.44,2,"[117.68970292376545, 126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821]"
120.23,130.83,120.44,2,"[126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098]"
120.44,130.83,130.44,1,"[126.3786039135122, 116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098]"
121.50,130.83,130.44,2,"[116.28597121451152, 117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098]"
121.63,130.83,130.44,2,"[117.23042356798081, 122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208]"
122.07,130.83,130.44,2,"[122.52045376900817, 122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875]"
122.48,130.83,130.44,2,"[122.47539577985697, 127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392]"
122.52,130.83,130.44,2,"[127.47946264326146, 121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456]"
123.57,130.83,130.44,2,"[121.62549331829922, 119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557]"
123.87,130.83,130.44,2,"[119.40235987964569, 123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588]"
123.91,130.83,130.44,2,"[123.5656435661656, 125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559]"
124.23,130.83,130.44,2,"[125.14586581466976, 124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757]"
125.15,130.83,130.44,2,"[124.23060200725821, 121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442]"
125.25,130.83,130.44,2,"[121.50385455316098, 132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389]"
