Service Time,11,12,13,14,15,16,17
Grand Mean T,19.89292112,24.21901848,29.98015822,38.37285054,51.84119377,79.30979282,137.5931114
Grand Mean D,21.27521773,24.21830844,31.53641779,36.9736502,52.69767283,79.66779108,130.7713786
Mean P,18007.84751,18026.03008,18020.80846,18011.14907,18099.09702,18149.88032,18159.55246
